sheet,id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Degree,Gender
Before_lectures_002,9,5,4,4,3,3,1,2,1,5,3,4,NA,NA,Zoology,No
Before_lectures_002,10,4,3,4,4,2,2,3,2,5,1,1,NA,NA,Zoology,Agender
Before_lectures_002,11,5,5,5,5,2,1,1,1,5,4,3,NA,NA,Zoology,Non-Binary
Before_lectures_002,12,5,5,5,5,3,3,5,3,5,3,2,NA,NA,Zoology with animal behav,Female
Before_lectures_002,13,3,4,2,2,1,4,1,3,5,2,2,NA,NA,Zoology,Male
Before_lectures_002,14,4,4,5,5,5,3,1,1,4,3,2,NA,NA,Zoology with animal behav,a minion
Before_lectures_002,15,5,4,5,4,2,1,3,2,5,4,4,NA,NA,Zoology with animal behav,Female
Before_lectures_002,16,4,4,4,2,1,5,5,5,3,2,2,NA,NA,Zoology,Female
Before_lectures_002,17,5,5,5,5,3,1,1,1,5,2,2,NA,NA,Zoology with herp,Male
Before_lectures_002,18,5,4,4,4,3,3,3,2,5,2,3,NA,NA,Zoology with conservation,Male
Before_lectures_002,19,5,5,4,5,5,1,2,1,5,5,5,NA,NA,Zoology with conservation,Female
Before_lectures_002,20,5,5,4,4,3,1,2,1,5,3,3,NA,NA,Zoology with conservation,Female
Before_lectures_002,21,5,4,4,2,2,1,1,1,5,2,2,NA,NA,Zoology with conservation,Male
Before_lectures_002,22,5,5,5,5,5,1,2,1,5,4,4,NA,NA,Zoology with conservation,Male
Before_lectures_002,23,5,5,5,2,1,1,1,1,5,2,4,NA,NA,Zoology with herp,Male
Before_lectures_002,24,5,5,4,3,1,1,2,1,5,2,3,NA,NA,Zoology with herp,Male
Before_lectures_002,25,4,3,5,4,2,1,1,1,5,3,4,NA,NA,Zoology with herp,Female
Before_lectures_002,26,4,4,4,3,2,2,2,3,4,3,4,NA,NA,Zoology with ornithology,Male
Before_lectures_002,27,5,5,4,3,2,1,1,1,5,3,4,NA,NA,Zoology with animal behav,Male
Before_lectures_002,28,4,4,4,3,2,2,1,2,4,3,3,NA,NA,Biology,Male
Before_lectures_002,29,4,4,4,3,2,2,1,2,4,4,3,NA,NA,Zoology with conservation,Male
Before_lectures_002,30,4,4,4,3,1,4,3,2,2,2,3,NA,NA,Zoology with conservation,Male
Before_lectures_002,31,4,3,5,3,1,2,3,2,5,1,2,NA,NA,Zoology,Male
Before_lectures_002,32,4,3,3,2,1,2,2,3,4,1,1,NA,NA,Zoology,Male
Before_lectures_002,33,4,4,3,3,1,2,3,3,5,2,3,NA,NA,Zoology,?
Before_lectures_002,34,5,4,3,3,3,1,1,1,5,4,2,NA,NA,Zoology,Male
Before_lectures_002,35,4,4,3,2,2,4,4,4,4,1,3,NA,NA,Zoology,Man
Before_lectures_003,1,5,4,5,2,1,2,1,1,5,3,2,NA,NA,Zoology with primatology,Male
Before_lectures_003,2,3,2,4,3,2,2,1,2,4,2,2,NA,NA,Zoology with primatology,Female
Before_lectures_003,3,5,5,4,4,3,1,2,1,5,3,3,NA,NA,Zoology with ornithology,Female
Before_lectures_003,4,4,3,3,4,2,1,1,1,3,2,3,NA,NA,Zoology,Male
Before_lectures_003,5,4,4,3,4,1,2,1,3,4,1,2,NA,NA,Zoology,Female
Before_lectures_003,6,4,4,3,4,1,2,1,4,4,1,2,NA,NA,Zoology,Female
Before_lectures_003,7,5,5,5,5,3,2,1,1,5,4,3,NA,NA,Zoology,Male
Before_lectures_003,8,4,4,4,3,2,4,1,2,4,2,2,NA,NA,Zoology with animal management,Male
Before_lectures_003,9,5,5,5,3,3,1,1,1,5,4,3,NA,NA,Zoology with herp,Agender
Before_lectures_003,10,5,5,5,3,2,2,2,1,5,3,4,NA,NA,Zoology with primatology,Male
Before_lectures_003,11,5,5,4,3,3,2,4,1,4,2,3,NA,NA,Zoology with conservation,Female
Before_lectures_003,12,5,3,4,2,1,1,1,2,5,2,1,NA,NA,Zoology with primatology,Male
Before_lectures_003,13,4,2,4,3,3,1,1,1,5,2,3,NA,NA,Biology,Female
Before_lectures_003,14,4,4,2,2,1,1,1,3,NA,3,3,NA,NA,Zoology with primatology,Female
Before_lectures_003,15,4,5,4,2,2,2,1,2,5,2,3,NA,NA,Zoology with animal behav,Non-Binary
Before_lectures_003,16,4,5,3,3,1,2,1,2,4,3,2,NA,NA,Zoology with primatology,Female
Before_lectures_003,17,4,5,3,4,2,1,2,1,4,2,2,NA,NA,Zoology with animal behav,Female
Before_lectures_003,18,5,5,5,5,5,1,1,1,5,3,3,NA,NA,Zoology,Genderfluid
Before_lectures_003,19,5,5,5,4,3,2,1,1,5,3,3,NA,NA,Zoology,Male
Before_lectures_003,20,5,4,5,3,3,1,1,1,5,3,2,NA,NA,Zoology with animal behav,Female
Before_lectures_003,21,4,4,3,4,2,3,2,3,4,3,2,NA,NA,Zoology with herp,Female
Before_lectures_003,22,4,4,3,2,1,1,1,3,5,2,3,NA,NA,Zoology with marine zoology,Female
Before_lectures_003,23,4,4,3,2,1,1,1,1,4,2,2,NA,NA,Zoology with animal behav,Male
Before_lectures_003,24,5,5,4,3,2,1,2,1,5,3,2,NA,NA,Zoology with animal behav,Male
